NEXRAD SYSTEM                ,ICAO ,RDA LOCATION        ,RESPONSIBLE WFO ,WFO SID                  ,EQUIP
SEATTLE                      ,KATX ,EVERETT             ,WA              ,SEATTLE / TACOMA         ,WA    ,SEW ,RDA
PHOENIX                      ,KIWA ,PHOENIX             ,AZ              ,PHOENIX                  ,AZ    ,PSR ,RDA
PORTLAND OR                  ,KRTX ,PORTLAND            ,OR              ,PORTLAND                 ,OR    ,PQR ,RDA
POCATELLO                    ,KSFX ,SPRINGFIELD         ,ID              ,POCATELLO                ,ID    ,PIH ,RDA
RENO                         ,KRGX ,NIXON               ,NV              ,RENO                     ,NV    ,REV ,RDA
SACRAMENTO                   ,KDAX ,DAVIS               ,CA              ,SACRAMENTO               ,CA    ,STO ,RDA
SALT LAKE CITY               ,KMTX ,SALT LAKE CITY      ,UT              ,SALT LAKE CITY           ,UT    ,SLC ,RDA
PENDLETON                    ,KPDT ,PENDLETON           ,OR              ,PENDLETON                ,OR    ,PDT ,RDA
MISSOULA                     ,KMSX ,MISSOULA            ,MT              ,MISSOULA                 ,MT    ,MSO ,RDA
LAS VEGAS                    ,KESX ,LAS VEGAS           ,NV              ,LAS VEGAS                ,NV    ,VEF ,RDA
LOS ANGELES                  ,KVTX ,LOS ANGELES         ,CA              ,LOS ANGELES              ,CA    ,LOX ,RDA
MEDFORD                      ,KMAX ,MEDFORD             ,OR              ,MEDFORD                  ,OR    ,MFR ,RDA
FLAGSTAFF                    ,KFSX ,FLAGSTAFF           ,AZ              ,FLAGSTAFF                ,AZ    ,FGZ ,RDA
GLASGOW                      ,KGGW ,GLASGOW             ,MT              ,GLASGOW                  ,MT    ,GGW ,RDA
ELKO                         ,KLRX ,ELKO                ,NV              ,ELKO                     ,NV    ,LKN ,RDA
EUREKA (BUNKER HILL)         ,KBHX ,EUREKA              ,CA              ,EUREKA                   ,CA    ,EKA ,RDA
GREAT FALLS                  ,KTFX ,GREAT FALLS         ,MT              ,GREAT FALLS              ,MT    ,TFX ,RDA
BOISE                        ,KCBX ,BOISE               ,ID              ,BOISE                    ,ID    ,BOI ,RDA
BILLINGS                     ,KBLX ,BILLINGS            ,MT              ,BILLINGS                 ,MT    ,BYZ ,RDA
CEDAR CITY                   ,KICX ,CEDAR CITY          ,UT              ,SALT LAKE CITY           ,UT    ,SLC ,RDA
